room_id,hotel_id,room_number,floor_number,room_type,capacity,price_per_night,sea_view,mountain_view,extendable,damages_or_issues,last_renovated_date,smoking_allowed,ada_accessible
1,1,101,1,Single Comfort,1,204,False,False,False,,2024-11-15,False,False
2,1,102,1,Double Classic,2,264,False,False,True,Paint touch-up scheduled,2023-09-11,False,False
3,1,103,1,Queen Urban,2,269,False,False,True,,2023-09-08,False,False
4,1,104,1,King Executive,2,314,False,False,True,Paint touch-up scheduled,2022-05-22,False,False
5,1,205,2,Studio Extended Stay,3,354,False,False,True,,2022-11-29,False,False
6,1,206,2,Family Suite,4,389,False,False,False,,2021-06-27,False,False
7,1,207,2,Panorama Suite,2,464,True,True,True,,2024-05-28,False,False
8,1,208,2,Alpine Premium,2,419,False,True,True,,2022-02-14,False,False
9,1,309,3,Accessible Queen,2,274,False,False,False,,2024-07-06,False,True
10,1,310,3,Business King,2,344,False,False,True,Paint touch-up scheduled,2024-05-28,False,False
11,1,311,3,Junior Suite,3,369,True,False,True,,2024-10-08,False,False
12,1,312,3,Presidential Suite,4,669,True,False,False,,2021-05-14,False,False
13,2,101,1,Single Comfort,1,222,False,False,False,,2023-06-08,False,False
14,2,102,1,Double Classic,2,262,False,False,True,Paint touch-up scheduled,2022-07-03,False,False
15,2,103,1,Queen Urban,2,277,False,False,True,,2023-01-29,False,False
16,2,104,1,King Executive,2,327,False,False,True,Paint touch-up scheduled,2023-10-18,False,False
17,2,205,2,Studio Extended Stay,3,352,False,False,True,Bathroom caulking maintenance due,2024-02-22,False,False
18,2,206,2,Family Suite,4,402,False,False,False,Bathroom caulking maintenance due,2024-10-15,False,False
19,2,207,2,Panorama Suite,2,477,False,False,True,,2025-01-22,False,False
20,2,208,2,Alpine Premium,2,432,False,False,True,Bathroom caulking maintenance due,2021-04-11,False,False
21,2,309,3,Accessible Queen,2,307,False,False,False,,2022-11-29,False,True
22,2,310,3,Business King,2,352,False,False,True,,2021-08-04,False,False
23,2,311,3,Junior Suite,3,397,False,False,True,,2024-11-07,False,False
24,2,312,3,Presidential Suite,4,677,False,False,False,,2024-12-17,False,False
25,3,101,1,Single Comfort,1,256,False,False,False,,2023-09-09,False,False
26,3,102,1,Double Classic,2,276,False,False,True,Bathroom caulking maintenance due,2025-02-23,False,False
27,3,103,1,Queen Urban,2,306,False,False,True,Bathroom caulking maintenance due,2023-11-17,False,False
28,3,104,1,King Executive,2,336,False,False,True,,2023-11-21,False,False
29,3,205,2,Studio Extended Stay,3,376,False,False,True,,2023-04-02,False,False
30,3,206,2,Family Suite,4,421,False,False,False,,2021-04-22,False,False
31,3,207,2,Panorama Suite,2,491,False,True,True,,2022-04-16,False,False
32,3,208,2,Alpine Premium,2,446,False,True,True,,2023-10-22,False,False
33,3,309,3,Accessible Queen,2,316,False,False,False,,2021-07-23,False,True
34,3,310,3,Business King,2,376,False,False,True,,2024-01-07,False,False
35,3,311,3,Junior Suite,3,406,False,False,True,Bathroom caulking maintenance due,2024-04-14,False,False
36,3,312,3,Presidential Suite,4,686,False,False,False,Bathroom caulking maintenance due,2021-09-20,False,False
37,4,101,1,Single Comfort,1,225,False,False,False,,2021-08-30,False,False
38,4,102,1,Double Classic,2,265,False,False,True,Paint touch-up scheduled,2023-04-12,False,False
39,4,103,1,Queen Urban,2,295,False,False,True,,2023-08-08,False,False
40,4,104,1,King Executive,2,325,False,False,True,,2024-02-26,False,False
41,4,205,2,Studio Extended Stay,3,365,False,False,True,,2024-11-05,False,False
42,4,206,2,Family Suite,4,415,False,False,False,,2022-07-15,False,False
43,4,207,2,Panorama Suite,2,475,True,False,True,,2024-01-30,False,False
44,4,208,2,Alpine Premium,2,455,False,False,True,,2022-08-25,False,False
