maintenance_id,room_id,issue_category,issue_description,reported_date,resolved_date,status,priority_level
1,5,Window/Seal,Minor water pressure inconsistency,2026-01-08,2026-01-11,resolved,high
2,8,Furniture,Desk lamp intermittently flickering,2025-11-28,2025-12-02,resolved,high
3,13,Electrical,HVAC calibration required,2026-01-11,2026-01-21,resolved,low
4,17,Climate Control,HVAC calibration required,2025-10-24,2025-10-31,resolved,low
5,20,Climate Control,Minor water pressure inconsistency,2025-11-04,2025-11-17,resolved,high
6,25,Bathroom,Window seal inspection requested,2025-11-01,,open,high
7,36,Bathroom,HVAC calibration required,2025-09-22,2025-10-02,resolved,high
8,40,Furniture,Window seal inspection requested,2025-10-19,2025-10-27,resolved,high
9,42,Climate Control,HVAC calibration required,2026-02-01,2026-02-13,resolved,low
10,52,Climate Control,HVAC calibration required,2025-08-12,2025-08-25,resolved,medium
11,53,Furniture,Window seal inspection requested,2025-07-25,2025-07-31,resolved,medium
12,54,Electrical,HVAC calibration required,2026-01-05,2026-01-10,resolved,high
13,55,Furniture,Curtain track misalignment,2025-11-24,2025-12-02,resolved,low
14,57,Furniture,Curtain track misalignment,2025-09-16,2025-09-17,resolved,high
15,60,Bathroom,Window seal inspection requested,2025-12-30,2026-01-03,resolved,medium
16,62,Window/Seal,Desk lamp intermittently flickering,2025-11-01,2025-11-05,resolved,low
17,69,Window/Seal,Desk lamp intermittently flickering,2025-10-13,2025-10-26,resolved,medium
18,70,Climate Control,Desk lamp intermittently flickering,2026-01-26,2026-02-06,resolved,high
19,71,Window/Seal,Desk lamp intermittently flickering,2026-02-26,2026-03-09,resolved,high
20,74,Electrical,Desk lamp intermittently flickering,2025-08-24,2025-09-02,resolved,medium
21,87,Bathroom,Minor water pressure inconsistency,2025-09-09,2025-09-20,resolved,low
22,94,Furniture,Curtain track misalignment,2026-02-22,2026-03-03,resolved,high
23,95,Bathroom,HVAC calibration required,2025-09-26,2025-10-01,resolved,high
24,99,Window/Seal,Window seal inspection requested,2025-12-22,2025-12-31,resolved,high
25,112,Bathroom,Curtain track misalignment,2025-09-23,,open,low
26,113,Climate Control,Window seal inspection requested,2025-12-30,2026-01-07,resolved,high
27,126,Electrical,Minor water pressure inconsistency,2025-08-06,2025-08-16,resolved,high
28,129,Bathroom,Desk lamp intermittently flickering,2025-11-17,2025-11-29,resolved,high
29,135,Furniture,Desk lamp intermittently flickering,2025-11-20,2025-11-25,resolved,medium
30,139,Furniture,Minor water pressure inconsistency,2025-10-09,2025-10-13,resolved,low
31,145,Window/Seal,Minor water pressure inconsistency,2025-10-22,2025-10-24,resolved,low
32,150,Window/Seal,Desk lamp intermittently flickering,2025-12-30,2026-01-08,resolved,medium
33,153,Furniture,Desk lamp intermittently flickering,2026-01-23,2026-02-04,resolved,high
34,154,Bathroom,Minor water pressure inconsistency,2026-02-22,2026-02-27,resolved,high
35,158,Electrical,Curtain track misalignment,2025-11-14,2025-11-22,resolved,medium
36,160,Furniture,Desk lamp intermittently flickering,2025-10-15,2025-10-29,resolved,low
37,163,Electrical,Minor water pressure inconsistency,2026-01-30,,open,low
38,169,Bathroom,Minor water pressure inconsistency,2026-01-23,,open,low
39,178,Electrical,HVAC calibration required,2025-11-27,2025-12-04,resolved,low
40,183,Bathroom,Window seal inspection requested,2025-08-02,2025-08-05,resolved,low
41,194,Furniture,Curtain track misalignment,2025-08-18,2025-08-20,resolved,medium
42,201,Electrical,HVAC calibration required,2025-08-10,2025-08-25,resolved,medium
43,206,Climate Control,Desk lamp intermittently flickering,2026-01-07,2026-01-18,resolved,high
